,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
0,3,Embedding,0.07359278767463728,768,30522,39.7421875,3.0267653358110547,13.470692768648924,0.663236302330664,True,28217.87,embedding,13.470743343039903,4.785976,4.4505243,bert.embeddings.word_embeddings,768,61090.76,768,355,0,1,0.10756953501445558,28217.87,2.1649673,success,167.98175048828125,1.7026110887527466,,0,28217.869140625,36.34254837036133
1,4,Embedding,0.10000405519288835,512,768,1.5,1.7135292459105487,1.7078124826238776,0.6264303983208465,True,9.923474,embedding,2.467356573669849,2.0066278,0.99666375,bert.embeddings.position_embeddings,512,101.53775,512,311,0,1,0.04046053155122062,9.923474,10.232077,success,3.1501545906066895,0.019399207085371017,over-trained,0,9.923474311828613,0.012243149802088737
2,13,Linear,0.041366108071163754,768,768,1.0,2.8925907745871084,4.036131650654732,0.9106483933689435,True,24.85046,dense,4.737800312527776,3.0401583,1.3953345,bert.encoder.layer.0.attention.self.query,766,1096.8774,768,94,2,1,0.19520583353825305,24.85046,44.139122,success,4.985023498535156,2.7138115910929628e-05,,2,24.850460052490234,3.355412244796753
3,14,Linear,0.047057495866174914,768,768,1.0,3.20867803410593,5.030271420552894,0.9095547451626097,True,36.957985,dense,5.317563685546066,3.0333562,1.5677084,bert.encoder.layer.0.attention.self.key,768,1079.8314,768,87,0,1,0.23679514057858658,36.957985,29.217812,success,6.079308032989502,0.0015314691700041294,,0,36.957984924316406,3.5869174003601074
4,15,Linear,0.09198209468273,768,768,1.0,4.257152664270418,2.9581245142024146,0.936311294907231,True,4.952903,dense,3.9910520927290833,2.6899326,0.69485986,bert.encoder.layer.0.attention.self.value,768,489.70267,768,58,0,1,0.42768509762489004,4.952903,98.87185,success,2.2255117893218994,0.0009699887596070766,,1,4.952902793884277,2.14753794670105
5,18,Linear,0.06030895634821387,768,768,1.0,2.5188181141343837,2.274806077968374,0.917377662685449,True,8.000633,dense,3.3308912038331964,2.6828277,0.9031244,bert.encoder.layer.0.attention.output.dense,768,481.75647,768,138,0,1,0.12929038386915806,8.000633,60.214794,success,2.8285391330718994,0.0007203385466709733,,1,8.000633239746094,1.0392568111419678
6,22,Linear,0.059062133251604254,768,3072,4.0,3.3606695715080397,7.443235405621957,0.9712168217387736,True,163.98616,dense,7.509946424116356,3.5191257,2.2148073,bert.encoder.layer.0.intermediate.dense,768,3304.6519,768,223,0,1,0.15808212694763055,163.98616,20.152018,success,12.805707931518555,0.46159827709198,,0,163.9861602783203,4.787823677062988
7,25,Linear,0.03646862531078321,768,3072,4.0,3.5595461624467224,6.087582777342643,1.000716922638271,True,51.311317,dense,6.346001719283971,3.4817839,1.7102132,bert.encoder.layer.0.output.dense,768,3032.3813,768,32,0,1,0.45246811205652043,51.311317,59.09771,success,7.163191795349121,0.39766961336135864,,0,51.311317443847656,9.077798843383789
8,31,Linear,0.04447547778042138,768,768,1.0,2.7327225276859495,3.5657408192312734,0.9148732553711013,True,20.175802,dense,4.502378357535665,3.0283642,1.3048309,bert.encoder.layer.1.attention.self.query,768,1067.4906,768,134,0,1,0.14968442819614158,20.175802,52.90945,success,4.491748332977295,0.0007128155557438731,,1,20.17580223083496,2.4273698329925537
9,32,Linear,0.03205003800988704,768,768,1.0,2.7112914714804104,4.156411421149607,0.9029063741434472,True,34.119328,dense,4.679537438836975,3.0281327,1.5330006,bert.encoder.layer.1.attention.self.key,768,1066.9213,768,110,0,1,0.16316523973516117,34.119328,31.27029,success,5.841175079345703,0.0006708536529913545,,1,34.119327545166016,2.7411439418792725
