,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
0,3,Embedding,0.07359278767463728,768,30522,39.7421875,3.0267653358110547,13.470692768648924,0.663236302330664,True,28217.87,embedding,13.470743343039903,4.785976,4.4505243,bert.embeddings.word_embeddings,768,61090.76,768,355,0,1,0.10756953501445558,28217.87,2.1649673,success,167.98175048828125,1.7026110887527466,,0,28217.869140625,36.34254837036133
1,4,Embedding,0.10000405519288835,512,768,1.5,1.7135292459105487,1.7078124826238776,0.6264303983208465,True,9.923474,embedding,2.467356573669849,2.0066278,0.99666375,bert.embeddings.position_embeddings,512,101.53775,512,311,0,1,0.04046053155122062,9.923474,10.232077,success,3.1501545906066895,0.019399207085371017,over-trained,0,9.923474311828613,0.012243149802088737
2,13,Linear,0.041366108071163754,768,768,1.0,2.8925907745871084,4.036131650654732,0.9106483933689435,True,24.85046,dense,4.737800312527776,3.0401583,1.3953345,bert.encoder.layer.0.attention.self.query,766,1096.8774,768,94,2,1,0.19520583353825305,24.85046,44.139122,success,4.985023498535156,2.7138115910929628e-05,,2,24.850460052490234,3.355412244796753
3,14,Linear,0.0479991759791113,768,768,1.0,3.1892467152218984,4.988444964846759,0.9100350870640833,True,36.656002,dense,5.283421428783405,3.031631,1.5641452,bert.encoder.layer.0.attention.self.key,767,1075.5503,768,90,1,1,0.23076686600477384,36.656002,29.341724,success,6.054419994354248,0.00013931712601333857,,1,36.656002044677734,3.49922776222229
4,15,Linear,0.09198209468273,768,768,1.0,4.257152664270418,2.9581245142024146,0.936311294907231,True,4.952903,dense,3.9910520927290833,2.6899326,0.69485986,bert.encoder.layer.0.attention.self.value,768,489.70267,768,58,0,1,0.42768509762489004,4.952903,98.87185,success,2.2255117893218994,0.0009699887596070766,,1,4.952902793884277,2.14753794670105
5,18,Linear,0.06030895634821387,768,768,1.0,2.5188181141343837,2.274806077968374,0.917377662685449,True,8.000633,dense,3.3308912038331964,2.6828277,0.9031244,bert.encoder.layer.0.attention.output.dense,768,481.75647,768,138,0,1,0.12929038386915806,8.000633,60.214794,success,2.8285391330718994,0.0007203385466709733,,1,8.000633239746094,1.0392568111419678
6,22,Linear,0.05749028646543097,768,3072,4.0,3.3758944580107664,7.455922576379449,0.9717033631838347,True,161.65042,dense,7.523638566707889,3.5189352,2.208577,bert.encoder.layer.0.intermediate.dense,768,3303.2021,768,221,0,1,0.15981995633104568,161.65042,20.43423,success,12.714181900024414,0.45930981636047363,,0,161.65042114257812,4.8221282958984375
7,25,Linear,0.03646862531078321,768,3072,4.0,3.5595461624467224,6.087582777342643,1.000716922638271,True,51.311317,dense,6.346001719283971,3.4817839,1.7102132,bert.encoder.layer.0.output.dense,768,3032.3813,768,32,0,1,0.45246811205652043,51.311317,59.09771,success,7.163191795349121,0.39766961336135864,,0,51.311317443847656,9.077798843383789
8,31,Linear,0.04300057023871767,768,768,1.0,2.7217495347247214,3.5560451450766433,0.9153163785991517,True,20.254854,dense,4.485949116891725,3.0273306,1.3065292,bert.encoder.layer.1.attention.self.query,767,1064.9529,768,142,1,1,0.1444860113196984,20.254854,52.577663,success,4.500539302825928,0.00011671271931845695,,1,20.254854202270508,2.3316166400909424
9,32,Linear,0.03192879722176234,768,768,1.0,2.717676389785201,4.157010031182345,0.9033525339989816,True,33.854713,dense,4.681559135322178,3.027096,1.5296192,bert.encoder.layer.1.attention.self.key,767,1064.3777,768,106,1,1,0.1668354793503231,33.854713,31.439571,success,5.818480491638184,0.00022170193551573902,,1,33.854713439941406,2.8016059398651123
