,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
0,3,Embedding,0.07359278767463728,768,30522,39.7421875,3.0267653358110547,13.470692768648924,0.663236302330664,True,28217.87,embedding,13.470743343039903,4.785976,4.4505243,bert.embeddings.word_embeddings,768,61090.76,768,355,0,1,0.10756953501445558,28217.87,2.1649673,success,167.98175048828125,1.7026110887527466,,0,28217.869140625,36.34254837036133
1,4,Embedding,0.10000405519288835,512,768,1.5,1.7135292459105487,1.7078124826238776,0.6264303983208465,True,9.923474,embedding,2.467356573669849,2.0066278,0.99666375,bert.embeddings.position_embeddings,512,101.53775,512,311,0,1,0.04046053155122062,9.923474,10.232077,success,3.1501545906066895,0.019399207085371017,over-trained,0,9.923474311828613,0.012243149802088737
2,13,Linear,0.04135875641967979,768,768,1.0,2.9016543645615296,4.048613739900568,0.9104825288221108,True,24.847208,dense,4.747675316364375,3.0400393,1.3952777,bert.encoder.layer.0.attention.self.query,767,1096.5771,768,92,1,1,0.1982611727828131,24.847208,44.132812,success,4.984697341918945,0.0001793016417650506,,2,24.84720802307129,3.401191473007202
3,14,Linear,0.04628788907225989,768,768,1.0,3.2123137255028924,5.035451478024358,0.9095547451626097,True,36.944225,dense,5.3213804410047665,3.033376,1.5675466,bert.encoder.layer.0.attention.self.key,768,1079.8807,768,87,0,1,0.2371849276105351,36.944225,29.230028,success,6.078176021575928,0.0015529002994298935,,0,36.9442253112793,3.590644121170044
4,15,Linear,0.09240799904290897,768,768,1.0,4.270218961512204,2.9653350380043393,0.9363745976885474,True,4.947915,dense,3.995672836266672,2.689711,0.69442225,bert.encoder.layer.0.attention.self.value,768,489.45303,768,58,0,1,0.4294007865063938,4.947915,98.92107,success,2.224390983581543,0.00042662007035687566,,1,4.947915077209473,2.147797107696533
5,18,Linear,0.058279278258038025,768,768,1.0,2.5203478343510968,2.274001990269676,0.9174452000065586,True,7.9846735,dense,3.330534876466269,2.682602,0.9022572,bert.encoder.layer.0.attention.output.dense,768,481.50632,768,138,0,1,0.12942060230162913,7.9846735,60.30382,success,2.825716495513916,0.0005699230241589248,,1,7.984673500061035,1.0394517183303833
6,22,Linear,0.05901434292706731,768,3072,4.0,3.3759916578740734,7.479120339629868,0.9711822277018184,True,164.2043,dense,7.544664194004004,3.519135,2.2153847,bert.encoder.layer.0.intermediate.dense,768,3304.7217,768,220,0,1,0.1601893248952511,164.2043,20.125671,success,12.81422233581543,0.4614545702934265,,0,164.2042999267578,4.828343868255615
7,25,Linear,0.03642502606362652,768,3072,4.0,3.5604691050190227,6.087718530964766,1.000728047276711,True,51.263462,dense,6.346408158461471,3.4817908,1.709808,bert.encoder.layer.0.output.dense,768,3032.4292,768,32,0,1,0.4526312667944003,51.263462,59.153812,success,7.159850597381592,0.39804700016975403,,0,51.26346206665039,9.078020095825195
8,31,Linear,0.04426146162104683,768,768,1.0,2.727055620617112,3.5569173664945124,0.9148812938195224,True,20.151474,dense,4.495705450639687,3.0282464,1.3043069,bert.encoder.layer.1.attention.self.query,768,1067.2012,768,134,0,1,0.14919488198739433,20.151474,52.95896,success,4.489039421081543,0.0008607704075984657,,1,20.151473999023438,2.421962261199951
9,32,Linear,0.032317849743277005,768,768,1.0,2.707154603348939,4.149461599201247,0.9028852732163418,True,34.101692,dense,4.674129813978506,3.0280347,1.532776,bert.encoder.layer.1.attention.self.key,768,1066.6809,768,110,0,1,0.16277080483516113,34.101692,31.279413,success,5.839665412902832,0.001119529246352613,,0,34.10169219970703,2.73651123046875
