,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
0,3,Embedding,0.07359278767463728,768,30522,39.7421875,3.0267653358110547,13.470692768648924,0.663236302330664,True,28217.87,embedding,13.470743343039903,4.785976,4.4505243,bert.embeddings.word_embeddings,768,61090.76,768,355,0,1,0.10756953501445558,28217.87,2.1649673,success,167.98175048828125,1.7026110887527466,,0,28217.869140625,36.34254837036133
1,4,Embedding,0.10000405519288835,512,768,1.5,1.7135292459105487,1.7078124826238776,0.6264303983208465,True,9.923474,embedding,2.467356573669849,2.0066278,0.99666375,bert.embeddings.position_embeddings,512,101.53775,512,311,0,1,0.04046053155122062,9.923474,10.232077,success,3.1501545906066895,0.019399207085371017,over-trained,0,9.923474311828613,0.012243149802088737
2,13,Linear,0.041339073524729986,768,768,1.0,2.901637031731507,4.049046146546286,0.9104803752439397,True,24.856216,dense,4.7478102323763585,3.0400474,1.3954351,bert.encoder.layer.0.attention.self.query,767,1096.5974,768,92,1,1,0.19825936571036507,24.856216,44.117634,success,4.98560094833374,9.598031465429813e-05,,2,24.856216430664062,3.4010934829711914
3,14,Linear,0.0459751932920901,768,768,1.0,3.214253816549278,5.038435185822489,0.9095540274440006,True,36.942703,dense,5.3241721803533535,3.033388,1.5675287,bert.encoder.layer.0.attention.self.key,768,1079.9102,768,87,0,1,0.2373929272034908,36.942703,29.232029,success,6.0780510902404785,0.0016462005442008376,,0,36.94270324707031,3.592121124267578
4,15,Linear,0.09074711495813292,768,768,1.0,4.221169949984764,2.932337328945254,0.9363687841678142,True,4.9507847,dense,3.9696729218191193,2.68973,0.6946741,bert.encoder.layer.0.attention.self.value,768,489.47437,768,60,0,1,0.41585125238649234,4.9507847,98.868034,success,2.2250359058380127,0.0003809042682405561,,1,4.950784683227539,2.1153900623321533
5,18,Linear,0.05843703451718263,768,768,1.0,2.521523222129617,2.2756569070918795,0.9176093650639222,True,7.989009,dense,3.331456198059038,2.6826198,0.90249294,bert.encoder.layer.0.attention.output.dense,767,481.5261,768,138,1,1,0.12952065795389306,7.989009,60.27357,success,2.8264834880828857,0.00018527706561144441,,1,7.989008903503418,1.0399985313415527
6,22,Linear,0.05920672694220863,768,3072,4.0,3.359201352065642,7.441809625434374,0.9711828018767056,True,164.19147,dense,7.508342504187601,3.5191383,2.2153509,bert.encoder.layer.0.intermediate.dense,768,3304.7478,768,223,0,1,0.1579838077016499,164.19147,20.127403,success,12.813721656799316,0.4615960717201233,,0,164.19146728515625,4.786342144012451
7,25,Linear,0.03624588997283751,768,3072,4.0,3.5586813601883,6.084842975868918,1.0007286214515982,True,51.269478,dense,6.343707614509602,3.481798,1.7098589,bert.encoder.layer.0.output.dense,768,3032.4785,768,32,0,1,0.4523152351711915,51.269478,59.147835,success,7.160270690917969,0.3980148732662201,,0,51.26947784423828,9.075790405273438
8,31,Linear,0.043992160816005654,768,768,1.0,2.7274507433369886,3.557099461868429,0.9148858872186202,True,20.145807,dense,4.496106657871433,3.0282407,1.3041847,bert.encoder.layer.1.attention.self.query,768,1067.187,768,134,0,1,0.14922901539158745,20.145807,52.973156,success,4.488408088684082,0.0009119074675254524,,1,20.14580726623535,2.422205686569214
9,32,Linear,0.031955691346416404,768,768,1.0,2.7081888476136093,4.151083667890931,0.9028869239691425,True,34.102757,dense,4.67542460680946,3.028031,1.5327896,bert.encoder.layer.1.attention.self.key,768,1066.6721,768,110,0,1,0.16286941615661166,34.102757,31.27818,success,5.839756488800049,0.0013285181485116482,,0,34.10275650024414,2.737476348876953
