,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
0,3,Embedding,0.07359278767463728,768,30522,39.7421875,3.0267653358110547,13.470692768648924,0.663236302330664,True,28217.87,embedding,13.470743343039903,4.785976,4.4505243,bert.embeddings.word_embeddings,768,61090.76,768,355,0,1,0.10756953501445558,28217.87,2.1649673,success,167.98175048828125,1.7026110887527466,,0,28217.869140625,36.34254837036133
1,4,Embedding,0.10000405519288835,512,768,1.5,1.7135292459105487,1.7078124826238776,0.6264303983208465,True,9.923474,embedding,2.467356573669849,2.0066278,0.99666375,bert.embeddings.position_embeddings,512,101.53775,512,311,0,1,0.04046053155122062,9.923474,10.232077,success,3.1501545906066895,0.019399207085371017,over-trained,0,9.923474311828613,0.012243149802088737
2,13,Linear,0.041460867708198346,768,768,1.0,2.900902361501872,4.048624408243924,0.9104770730907438,True,24.868124,dense,4.747199618998575,3.040015,1.3956431,bert.encoder.layer.0.attention.self.query,767,1096.5154,768,92,1,1,0.19818277104413629,24.868124,44.09321,success,4.986794948577881,6.89618318574503e-05,,2,24.86812400817871,3.399869441986084
3,14,Linear,0.04655262766902457,768,768,1.0,3.2094745246296785,5.033285780622111,0.9095579031244894,True,37.004833,dense,5.318272908008396,3.033334,1.5682585,bert.encoder.layer.0.attention.self.key,768,1079.7762,768,87,0,1,0.23688053332602563,37.004833,29.17933,success,6.083159923553467,0.001548481173813343,,0,37.00483322143555,3.5878992080688477
4,15,Linear,0.09198209468273,768,768,1.0,4.257152664270418,2.9581245142024146,0.936311294907231,True,4.952903,dense,3.9910520927290833,2.6899326,0.69485986,bert.encoder.layer.0.attention.self.value,768,489.70267,768,58,0,1,0.42768509762489004,4.952903,98.87185,success,2.2255117893218994,0.0009699887596070766,,1,4.952902793884277,2.14753794670105
5,18,Linear,0.06097740839202881,768,768,1.0,2.4789699700508985,2.2384896330005186,0.9174400324325737,True,7.9981914,dense,3.3062295742783365,2.6826153,0.90299183,bert.encoder.layer.0.attention.output.dense,768,481.52094,768,150,0,1,0.120757392384134,7.9981914,60.203728,success,2.8281073570251465,0.0005981565918773413,,1,7.9981913566589355,0.9644121527671814
6,22,Linear,0.05896191823801622,768,3072,4.0,3.359062019951088,7.439496396340532,0.9712198361569315,True,163.96608,dense,7.506265757897575,3.5190854,2.214754,bert.encoder.layer.0.intermediate.dense,768,3304.344,768,223,0,1,0.15797447733314487,163.96608,20.152607,success,12.804924011230469,0.46142515540122986,,0,163.96607971191406,4.785844802856445
7,25,Linear,0.03615012185312927,768,3072,4.0,3.5605601957720032,6.0890215720163825,1.0007187887066546,True,51.30152,dense,6.347488341881373,3.4817972,1.7101302,bert.encoder.layer.0.output.dense,768,3032.4736,768,32,0,1,0.4526473695166843,51.30152,59.110794,success,7.162508010864258,0.39758145809173584,,0,51.30152130126953,9.078997611999512
8,31,Linear,0.04427361740130731,768,768,1.0,2.7301844354175424,3.5605729205228256,0.9148988061535828,True,20.144245,dense,4.498982364085489,3.028267,1.304151,bert.encoder.layer.1.attention.self.query,768,1067.2511,768,134,0,1,0.1494651704189527,20.144245,52.980446,success,4.488234043121338,0.0005853365291841328,,1,20.144245147705078,2.424671173095703
9,32,Linear,0.03195550117092627,768,768,1.0,2.707482437074154,4.150287497438541,0.9028793161518869,True,34.111073,dense,4.674986779064456,3.0280929,1.5328954,bert.encoder.layer.1.attention.self.key,768,1066.8235,768,110,0,1,0.16280206255440968,34.111073,31.27499,success,5.840468406677246,0.0009293816983699799,,1,34.1110725402832,2.7370147705078125
