,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
0,3,Embedding,0.07359278767463728,768,30522,39.7421875,3.0267653358110547,13.470692768648924,0.663236302330664,True,28217.87,embedding,13.470743343039903,4.785976,4.4505243,bert.embeddings.word_embeddings,768,61090.76,768,355,0,1,0.10756953501445558,28217.87,2.1649673,success,167.98175048828125,1.7026110887527466,,0,28217.869140625,36.34254837036133
1,4,Embedding,0.10000405519288835,512,768,1.5,1.7135292459105487,1.7078124826238776,0.6264303983208465,True,9.923474,embedding,2.467356573669849,2.0066278,0.99666375,bert.embeddings.position_embeddings,512,101.53775,512,311,0,1,0.04046053155122062,9.923474,10.232077,success,3.1501545906066895,0.019399207085371017,over-trained,0,9.923474311828613,0.012243149802088737
2,13,Linear,0.041556940079003235,768,768,1.0,2.898217943521957,4.045140149099383,0.9104776473782561,True,24.873302,dense,4.744156684546011,3.0401003,1.3957336,bert.encoder.layer.0.attention.self.query,767,1096.7312,768,92,1,1,0.19790290112305314,24.873302,44.092705,success,4.987314224243164,0.0002045472792815417,,2,24.873302459716797,3.398252248764038
3,14,Linear,0.046737485775583676,768,768,1.0,3.2100580887575876,5.031511181437146,0.9095494340449028,True,36.933502,dense,5.318467168448537,3.0334234,1.5674206,bert.encoder.layer.0.attention.self.key,768,1079.9988,768,87,0,1,0.2369430979676669,36.933502,29.24171,success,6.077293872833252,0.0016752054216340184,,0,36.933502197265625,3.589611291885376
4,15,Linear,0.09198209468273,768,768,1.0,4.257152664270418,2.9581245142024146,0.936311294907231,True,4.952903,dense,3.9910520927290833,2.6899326,0.69485986,bert.encoder.layer.0.attention.self.value,768,489.70267,768,58,0,1,0.42768509762489004,4.952903,98.87185,success,2.2255117893218994,0.0009699887596070766,,1,4.952902793884277,2.14753794670105
5,18,Linear,0.060463970324647065,768,768,1.0,2.522685875358535,2.279057131365481,0.917441180782348,True,8.00617,dense,3.3323750429817287,2.6826942,0.90342486,bert.encoder.layer.0.attention.output.dense,768,481.60858,768,137,0,1,0.1300918337909714,8.00617,60.154675,success,2.8295176029205322,0.00035813511931337416,,1,8.006170272827148,1.0457055568695068
6,22,Linear,0.05926036955696634,768,3072,4.0,3.3608205594430105,7.444409558399701,0.9712011754730967,True,164.08052,dense,7.511017043575063,3.519147,2.2150571,bert.encoder.layer.0.intermediate.dense,768,3304.812,768,223,0,1,0.15809223784760218,164.08052,20.141403,success,12.809391975402832,0.4611241817474365,,0,164.0805206298828,4.7881574630737305
7,25,Linear,0.03646862531078321,768,3072,4.0,3.5595461624467224,6.087582777342643,1.000716922638271,True,51.311317,dense,6.346001719283971,3.4817839,1.7102132,bert.encoder.layer.0.output.dense,768,3032.3813,768,32,0,1,0.45246811205652043,51.311317,59.09771,success,7.163191795349121,0.39766961336135864,,0,51.311317443847656,9.077798843383789
8,31,Linear,0.045307614862104106,768,768,1.0,2.7320825367912835,3.560357809501964,0.9150911143224487,True,20.098621,dense,4.50080076124766,3.0282946,1.3031663,bert.encoder.layer.1.attention.self.query,767,1067.3191,768,132,1,1,0.1507584339632127,20.098621,53.104095,success,4.483148574829102,0.00019607105059549212,,2,20.098621368408203,2.4477713108062744
9,32,Linear,0.032590476071599817,768,768,1.0,2.7141791980876446,4.160345209347835,0.903088936030832,True,34.10506,dense,4.6828692117345305,3.028098,1.5328189,bert.encoder.layer.1.attention.self.key,767,1066.8368,768,110,1,1,0.16344057366395787,34.10506,31.280893,success,5.839953899383545,5.215260534896515e-05,,1,34.10506057739258,2.7435667514801025
