,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
0,3,Embedding,0.07359278767463728,768,30522,39.7421875,3.0267653358110547,13.470692768648924,0.663236302330664,True,28217.87,embedding,13.470743343039903,4.785976,4.4505243,bert.embeddings.word_embeddings,768,61090.76,768,355,0,1,0.10756953501445558,28217.87,2.1649673,success,167.98175048828125,1.7026110887527466,,0,28217.869140625,36.34254837036133
1,4,Embedding,0.10000405519288835,512,768,1.5,1.7135292459105487,1.7078124826238776,0.6264303983208465,True,9.923474,embedding,2.467356573669849,2.0066278,0.99666375,bert.embeddings.position_embeddings,512,101.53775,512,311,0,1,0.04046053155122062,9.923474,10.232077,success,3.1501545906066895,0.019399207085371017,over-trained,0,9.923474311828613,0.012243149802088737
2,13,Linear,0.040780722299974204,768,768,1.0,2.9143746569662676,4.071302400690914,0.9107553448517943,True,24.944384,dense,4.753228209118992,3.0378053,1.3969729,bert.encoder.layer.0.attention.self.query,768,1090.9507,768,94,0,1,0.1974526694494398,24.944384,43.735325,success,4.9944353103637695,0.0005473904311656952,,1,24.94438362121582,3.351585626602173
3,14,Linear,0.0438519311781439,768,768,1.0,3.2020107767933963,4.992815453534343,0.9101770796515016,True,36.24724,dense,5.294772392843067,3.0309978,1.559275,bert.encoder.layer.0.attention.self.key,767,1073.9835,768,90,1,1,0.23211231623012588,36.24724,29.629389,success,6.020567893981934,0.0002883014385588467,,1,36.24723815917969,3.5027475357055664
4,15,Linear,0.09461011598038538,768,768,1.0,4.307369687518797,2.957807548234928,0.9370324148036523,True,4.8605485,dense,3.991310228721275,2.6868336,0.6866853,bert.encoder.layer.0.attention.self.value,767,486.22073,768,58,1,1,0.4342789158164685,4.8605485,100.03413,success,2.204665184020996,0.00013041011698078364,,1,4.860548496246338,2.1331393718719482
5,18,Linear,0.06201708347046314,768,768,1.0,2.502857120957896,2.244203139151216,0.9180671749531436,True,7.8823647,dense,3.3078092032125657,2.6798708,0.8966565,bert.encoder.layer.0.attention.output.dense,768,478.48785,768,142,0,1,0.12611696800912986,7.8823647,60.70359,success,2.8075549602508545,0.0008585053728893399,,1,7.882364749908447,1.0052920579910278
6,22,Linear,0.0586991154515909,768,3072,4.0,3.3623788340189478,7.438269440484186,0.9715513503824422,True,163.00627,dense,7.504726058342577,3.5189009,2.2122045,bert.encoder.layer.0.intermediate.dense,768,3302.9417,768,222,0,1,0.15855248591612633,163.00627,20.262667,success,12.767391204833984,0.46126702427864075,,0,163.0062713623047,4.800121307373047
7,25,Linear,0.03912991733677629,768,3072,4.0,3.588122311903993,6.132256268963543,1.0007728329179146,True,51.17328,dense,6.3849517859330245,3.4813125,1.7090433,bert.encoder.layer.0.output.dense,768,3029.0908,768,32,0,1,0.4575197093218796,51.17328,59.19282,success,7.153550148010254,0.3983895182609558,,0,51.17327880859375,9.095010757446289
8,31,Linear,0.04327767369365987,768,768,1.0,2.7306593368311916,3.573589365843434,0.9152573705572621,True,20.355928,dense,4.4941016267935625,3.0268116,1.308691,bert.encoder.layer.1.attention.self.query,767,1063.681,768,138,1,1,0.14732350629961566,20.355928,52.254116,success,4.511754512786865,0.0003882903838530183,,1,20.355928421020508,2.3759374618530273
9,32,Linear,0.03250771436457689,768,768,1.0,2.7205916397453755,4.149196019483396,0.9032236057686382,True,33.504864,dense,4.681275568982268,3.0264091,1.525108,bert.encoder.layer.1.attention.self.key,768,1062.6959,768,107,0,1,0.16633587208887654,33.504864,31.71766,success,5.788338661193848,0.0007591490866616368,,1,33.50486373901367,2.783374071121216
