,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
0,3,Embedding,0.07359278767463728,768,30522,39.7421875,3.0267653358110547,13.470692768648924,0.663236302330664,True,28217.87,embedding,13.470743343039903,4.785976,4.4505243,bert.embeddings.word_embeddings,768,61090.76,768,355,0,1,0.10756953501445558,28217.87,2.1649673,success,167.98175048828125,1.7026110887527466,,0,28217.869140625,36.34254837036133
1,4,Embedding,0.10000405519288835,512,768,1.5,1.7135292459105487,1.7078124826238776,0.6264303983208465,True,9.923474,embedding,2.467356573669849,2.0066278,0.99666375,bert.embeddings.position_embeddings,512,101.53775,512,311,0,1,0.04046053155122062,9.923474,10.232077,success,3.1501545906066895,0.019399207085371017,over-trained,0,9.923474311828613,0.012243149802088737
2,13,Linear,0.041945022130784104,768,768,1.0,2.91560472331337,4.068856220233354,0.9104956656489548,True,24.862478,dense,4.7628732981664985,3.03972,1.3955445,bert.encoder.layer.0.attention.self.query,767,1095.7714,768,93,1,1,0.19863895642734067,24.862478,44.073296,success,4.986228942871094,0.00028564484091475606,,1,24.862478256225586,3.3918020725250244
3,14,Linear,0.04570770367227883,768,768,1.0,3.2091946717615003,5.029214819110959,0.9095445535583615,True,36.908524,dense,5.317153511990304,3.0330284,1.5671268,bert.encoder.layer.0.attention.self.key,768,1079.0165,768,87,0,1,0.2368505299492372,36.908524,29.234886,success,6.0752387046813965,0.0013926392421126366,,0,36.90852355957031,3.584549903869629
4,15,Linear,0.09414046359586226,768,768,1.0,4.279355245671136,2.9673705887543895,0.936609452050837,True,4.936456,dense,3.9973490901368263,2.6893477,0.69341534,bert.encoder.layer.0.attention.self.value,767,489.04376,768,58,1,1,0.4306004393888959,4.936456,99.06778,success,2.221813678741455,2.7947580747422762e-05,,1,4.936456203460693,2.146772861480713
5,18,Linear,0.06010764632475185,768,768,1.0,2.541129502629575,2.289073209505943,0.9175591019498116,True,7.9580994,dense,3.3410308818625785,2.6821885,0.90080935,bert.encoder.layer.0.attention.output.dense,768,481.04803,768,133,0,1,0.1336328756057853,7.9580994,60.447605,success,2.8210103511810303,0.0008781327051110566,,1,7.958099365234375,1.0736502408981323
6,22,Linear,0.0588727988482356,768,3072,4.0,3.3668432654328813,7.4593203126556915,0.9711954337242245,True,164.2568,dense,7.525031692605732,3.5189927,2.2155235,bert.encoder.layer.0.intermediate.dense,768,3303.64,768,223,0,1,0.15849554807125657,164.2568,20.112652,success,12.81627082824707,0.46098244190216064,,0,164.25680541992188,4.791512966156006
7,25,Linear,0.03632174249163844,768,3072,4.0,3.553780409253866,6.0769413349899954,1.0007268271550758,True,51.285366,dense,6.336395468850354,3.481632,1.7099935,bert.encoder.layer.0.output.dense,768,3031.3208,768,32,0,1,0.45144886126119127,51.285366,59.106934,success,7.161380290985107,0.39726391434669495,,0,51.28536605834961,9.0648832321167
8,31,Linear,0.04323430347020216,768,768,1.0,2.7205294166832568,3.5489698217546795,0.9148901935302743,True,20.161108,dense,4.4882754999014445,3.0280204,1.3045144,bert.encoder.layer.1.attention.self.query,768,1066.6458,768,140,0,1,0.1454112756895427,20.161108,52.90611,success,4.4901123046875,0.000621074577793479,,1,20.161108016967773,2.3540797233581543
9,32,Linear,0.032114580081977206,768,768,1.0,2.70716702465627,4.147977088329544,0.90288434018215,True,34.058105,dense,4.673759009401123,3.0277996,1.5322206,bert.encoder.layer.1.attention.self.key,768,1066.1035,768,110,0,1,0.1627719891603461,34.058105,31.30249,success,5.83593225479126,0.0005695861182175577,,1,34.05810546875,2.7346792221069336
