,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
0,3,Embedding,0.07359278767463728,768,30522,39.7421875,3.0267653358110547,13.470692768648924,0.663236302330664,True,28217.87,embedding,13.470743343039903,4.785976,4.4505243,bert.embeddings.word_embeddings,768,61090.76,768,355,0,1,0.10756953501445558,28217.87,2.1649673,success,167.98175048828125,1.7026110887527466,,0,28217.869140625,36.34254837036133
1,4,Embedding,0.10000405519288835,512,768,1.5,1.7135292459105487,1.7078124826238776,0.6264303983208465,True,9.923474,embedding,2.467356573669849,2.0066278,0.99666375,bert.embeddings.position_embeddings,512,101.53775,512,311,0,1,0.04046053155122062,9.923474,10.232077,success,3.1501545906066895,0.019399207085371017,over-trained,0,9.923474311828613,0.012243149802088737
2,13,Linear,0.03922478888389122,768,768,1.0,2.9250491186322187,4.07834363529046,0.9113887545165338,True,24.790314,dense,4.7583802485201,3.036752,1.3942821,bert.encoder.layer.0.attention.self.query,767,1088.3081,768,93,1,1,0.19961829460049907,24.790314,43.90054,success,4.978987216949463,0.00012899356079287827,,1,24.790313720703125,3.367459535598755
3,14,Linear,0.044005239364987125,768,768,1.0,3.262666921330676,5.073344989201609,0.9108675168131747,True,35.8896,dense,5.3589315972284535,3.0299673,1.5549687,bert.encoder.layer.0.attention.self.key,767,1071.4381,768,85,1,1,0.24542068556769642,35.8896,29.853722,success,5.990792751312256,0.00011061477562179789,,1,35.88959884643555,3.6278133392333984
4,15,Linear,0.09198209468273,768,768,1.0,4.257152664270418,2.9581245142024146,0.936311294907231,True,4.952903,dense,3.9910520927290833,2.6899326,0.69485986,bert.encoder.layer.0.attention.self.value,768,489.70267,768,58,0,1,0.42768509762489004,4.952903,98.87185,success,2.2255117893218994,0.0009699887596070766,,1,4.952902793884277,2.14753794670105
5,18,Linear,0.060504290669617156,768,768,1.0,2.540872731476798,2.271183395133824,0.9186476657641267,True,7.831763,dense,3.3295969882092766,2.6812959,0.89385957,bert.encoder.layer.0.attention.output.dense,768,480.06042,768,135,0,1,0.13261720950299494,7.831763,61.2966,success,2.7985286712646484,0.0009902952006086707,,1,7.831762790679932,1.0599370002746582
6,22,Linear,0.06037475502786538,768,3072,4.0,3.3734863725694413,7.461080165762067,0.971752742224136,True,162.81038,dense,7.52571386258251,3.5184505,2.2116823,bert.encoder.layer.0.intermediate.dense,768,3299.518,768,220,0,1,0.16002041859446967,162.81038,20.266018,success,12.759716987609863,0.4595264792442322,,0,162.8103790283203,4.8228373527526855
7,25,Linear,0.03646862531078321,768,3072,4.0,3.5595461624467224,6.087582777342643,1.000716922638271,True,51.311317,dense,6.346001719283971,3.4817839,1.7102132,bert.encoder.layer.0.output.dense,768,3032.3813,768,32,0,1,0.45246811205652043,51.311317,59.09771,success,7.163191795349121,0.39766961336135864,,0,51.311317443847656,9.077798843383789
8,31,Linear,0.04455761836944072,768,768,1.0,2.739033259876194,3.562197419334502,0.9158330937883515,True,19.977028,dense,4.495085254726928,3.0265048,1.3005309,bert.encoder.layer.1.attention.self.query,767,1062.9297,768,132,1,1,0.15136341675412188,19.977028,53.2076,success,4.469566822052002,0.00021621673658955842,,2,19.977027893066406,2.443537950515747
9,32,Linear,0.03112477477041853,768,768,1.0,2.7302565080099637,4.15809051117973,0.9038603657185693,True,33.340096,dense,4.68484504069448,3.0261781,1.522967,bert.encoder.layer.1.attention.self.key,768,1062.1304,768,109,0,1,0.1657285163546905,33.340096,31.857449,success,5.774088382720947,0.0008719442412257195,,1,33.34009552001953,2.762927770614624
