,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
0,3,Embedding,0.07359278767463728,768,30522,39.7421875,3.0267653358110547,13.470692768648924,0.663236302330664,True,28217.87,embedding,13.470743343039903,4.785976,4.4505243,bert.embeddings.word_embeddings,768,61090.76,768,355,0,1,0.10756953501445558,28217.87,2.1649673,success,167.98175048828125,1.7026110887527466,,0,28217.869140625,36.34254837036133
1,4,Embedding,0.10000405519288835,512,768,1.5,1.7135292459105487,1.7078124826238776,0.6264303983208465,True,9.923474,embedding,2.467356573669849,2.0066278,0.99666375,bert.embeddings.position_embeddings,512,101.53775,512,311,0,1,0.04046053155122062,9.923474,10.232077,success,3.1501545906066895,0.019399207085371017,over-trained,0,9.923474311828613,0.012243149802088737
2,13,Linear,0.04193925414190769,768,768,1.0,2.9148484270251203,4.06776880720108,0.9104961681505281,True,24.86185,dense,4.761942933379012,3.039719,1.3955336,bert.encoder.layer.0.attention.self.query,767,1095.7684,768,93,1,1,0.19856053215555874,24.86185,44.07429,success,4.986166000366211,0.00021508608188014477,,2,24.86185073852539,3.391167640686035
3,14,Linear,0.04616843105417867,768,768,1.0,3.21133174031234,5.032662261293431,0.9095460607674404,True,36.911125,dense,5.320070209211688,3.0330284,1.5671574,bert.encoder.layer.0.attention.self.key,768,1079.017,768,87,0,1,0.23707964774735346,36.911125,29.23284,success,6.07545280456543,0.0014219186268746853,,0,36.91112518310547,3.5862233638763428
4,15,Linear,0.0936270794119074,768,768,1.0,4.267271943512263,2.9586922182431215,0.9365994738053106,True,4.9356585,dense,3.991526105368608,2.6894023,0.6933451,bert.encoder.layer.0.attention.self.value,767,489.10513,768,58,1,1,0.4290138240852482,4.9356585,99.09623,success,2.2216341495513916,0.0001940903894137591,,1,4.9356584548950195,2.1448752880096436
5,18,Linear,0.06026361270924463,768,768,1.0,2.522982611033315,2.2733576213883286,0.9177387233260696,True,7.9626856,dense,3.3302938370703705,2.6822345,0.90105957,bert.encoder.layer.0.attention.output.dense,767,481.09915,768,138,1,1,0.12964488938741203,7.9626856,60.41921,success,2.8218231201171875,0.00010965837282128632,,1,7.962685585021973,1.0397896766662598
6,22,Linear,0.05904482626238894,768,3072,4.0,3.364407107782003,7.45407776064815,0.9711911274125703,True,164.2742,dense,7.519942434336196,3.519007,2.2155695,bert.encoder.layer.0.intermediate.dense,768,3303.7473,768,223,0,1,0.15833241088862046,164.2742,20.111176,success,12.816949844360352,0.4607361853122711,,0,164.27420043945312,4.789685249328613
7,25,Linear,0.03642414552626427,768,3072,4.0,3.5531934326163945,6.075269209523089,1.0007269706987976,True,51.263153,dense,6.335223015241756,3.4816413,1.7098054,bert.encoder.layer.0.output.dense,768,3031.3848,768,32,0,1,0.4513450974710027,51.263153,59.133793,success,7.159829139709473,0.3975447118282318,,0,51.263153076171875,9.064844131469727
8,31,Linear,0.04282228091991455,768,768,1.0,2.722678567637864,3.553340437233419,0.9150606770842964,True,20.187841,dense,4.4907356647890815,3.0279999,1.30509,bert.encoder.layer.1.attention.self.query,767,1066.5955,768,140,1,1,0.14559291209687675,20.187841,52.833557,success,4.493088245391846,0.0003897770366165787,,1,20.187841415405273,2.3555984497070312
9,32,Linear,0.03189201695462851,768,768,1.0,2.708153156937472,4.149360217069656,0.9028772347679206,True,34.05441,dense,4.675005776569784,3.0277822,1.5321734,bert.encoder.layer.1.attention.self.key,768,1066.0607,768,110,0,1,0.1628660131841635,34.05441,31.30463,success,5.835615634918213,0.0008147004409693182,,1,34.05440902709961,2.7356419563293457
