,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
0,3,Embedding,0.07359278767463728,768,30522,39.7421875,3.0267653358110547,13.470692768648924,0.663236302330664,True,28217.87,embedding,13.470743343039903,4.785976,4.4505243,bert.embeddings.word_embeddings,768,61090.76,768,355,0,1,0.10756953501445558,28217.87,2.1649673,success,167.98175048828125,1.7026110887527466,,0,28217.869140625,36.34254837036133
1,4,Embedding,0.10000405519288835,512,768,1.5,1.7135292459105487,1.7078124826238776,0.6264303983208465,True,9.923474,embedding,2.467356573669849,2.0066278,0.99666375,bert.embeddings.position_embeddings,512,101.53775,512,311,0,1,0.04046053155122062,9.923474,10.232077,success,3.1501545906066895,0.019399207085371017,over-trained,0,9.923474311828613,0.012243149802088737
2,13,Linear,0.04128122684533703,768,768,1.0,2.893016875390389,4.035829875008354,0.9104534555168001,True,24.832735,dense,4.738625144033585,3.0401654,1.3950247,bert.encoder.layer.0.attention.self.query,767,1096.8955,768,94,1,1,0.19524978248040817,24.832735,44.171352,success,4.983245372772217,6.738451338605955e-05,,2,24.832735061645508,3.3558082580566406
3,14,Linear,0.04664806670829602,768,768,1.0,3.206111994988173,5.029435771442439,0.90952933792385,True,37.042675,dense,5.31409303879674,3.033484,1.5687025,bert.encoder.layer.0.attention.self.key,768,1080.1493,768,87,0,1,0.23652003230828347,37.042675,29.159592,success,6.086269378662109,0.0014157869154587388,,0,37.04267501831055,3.587008237838745
4,15,Linear,0.08950692732020649,768,768,1.0,4.2551191978885985,2.9467552422036025,0.936313519834919,True,4.9262905,dense,3.9894896023597393,2.690039,0.69252,bert.encoder.layer.0.attention.self.value,768,489.82266,768,60,0,1,0.4202340814447529,4.9262905,99.43032,success,2.21952486038208,0.0009545394568704069,,1,4.926290512084961,2.125009298324585
5,18,Linear,0.059152101710342686,768,768,1.0,2.5189480005384137,2.2706326520277624,0.9174509417554308,True,7.969315,dense,3.3303722333361856,2.6829226,0.901421,bert.encoder.layer.0.attention.output.dense,768,481.8619,768,138,0,1,0.1293014405341268,7.969315,60.464657,success,2.822997570037842,0.000810450641438365,,1,7.969315052032471,1.039595365524292
6,22,Linear,0.05886413011819769,768,3072,4.0,3.3607008799623985,7.442888897233009,0.971212084795954,True,163.93944,dense,7.509651496607461,3.5190687,2.2146835,bert.encoder.layer.0.intermediate.dense,768,3304.2185,768,223,0,1,0.15808422351680576,163.93944,20.155117,success,12.80388355255127,0.46026185154914856,,0,163.93943786621094,4.7872633934021
7,25,Linear,0.03557690108828693,768,3072,4.0,3.558386044951357,6.086930694097895,1.00070888418985,True,51.35556,dense,6.345177474693634,3.481807,1.7105875,bert.encoder.layer.0.output.dense,768,3032.5415,768,32,0,1,0.4522630303195339,51.35556,59.049915,success,7.166279315948486,0.3974001705646515,,0,51.355560302734375,9.076736450195312
8,31,Linear,0.04309667640786746,768,768,1.0,2.7209180436398515,3.548384675452778,0.914914093559955,True,20.14248,dense,4.488559660604691,3.028153,1.304113,bert.encoder.layer.1.attention.self.query,768,1066.9714,768,141,0,1,0.14492744364493365,20.14248,52.971203,success,4.488037586212158,0.0008234623819589615,,1,20.142480850219727,2.3458127975463867
9,32,Linear,0.03186163163547029,768,768,1.0,2.709112219431124,4.152491574717758,0.903061011300546,True,34.10254,dense,4.67693714853102,3.0279794,1.5327868,bert.encoder.layer.1.attention.self.key,767,1066.5452,768,108,1,1,0.16445939999397305,34.10254,31.274656,success,5.839737892150879,4.578347216011025e-05,,1,34.1025390625,2.7675952911376953
